PCON24NM,nation,mp_name,mp_party,mp_email,la_name,child_pop_0_19,imd_decile,imd_score,pct_non_decent_homes,total_homes_la,n_dwellings_voa,estimated_children_bl_5plus,rate_per_1000_bl_5plus,pct_pre_1900,pct_pre_1945,pct_pre_1972,pct_pre_1992,housing_source,n_mines_total,n_macklin,n_macklin_pb_relevant,n_iocmwf_metalliferous,n_iocmwf_water_pollution
Heywood and Middleton North,England,Mrs Elsie Blundell,Labour,elsie.blundell.mp@parliament.uk,Rochdale,28642.0,5.0,,15.2,92959.0,46593,643,22.4,16.53,37.48,68.05,82.9,VOA CTSOP 2023 (LAD),0,0,0,0,0
High Peak,England,Jon Pearce,Labour,jon.pearce.mp@parliament.uk,High Peak,19022.0,8,15.62222436492349,20.3,42885.0,43380,398,20.9,29.78,44.81,67.17,80.31,VOA CTSOP 2023 (LAD),2,3,3,0,0
Hinckley and Bosworth,England,Dr Luke Evans,Conservative,luke.evans.mp@parliament.uk,Hinckley and Bosworth,21715.0,5.0,,14.7,51927.0,44582,485,22.3,9.09,24.92,50.97,72.49,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hitchin,England,Alistair Strathern,Labour,alistair.strathern.mp@parliament.uk,North Hertfordshire,26466.0,5.0,,9.5,58986.0,44612,567,21.4,9.11,25.63,53.79,73.86,VOA CTSOP 2023 (LAD),0,0,0,0,0
Holborn and St Pancras,England,Sir Keir Starmer,Labour,keir.starmer.mp@parliament.uk,Camden,17931.0,4,23.625056613110146,14.3,101042.0,59143,414,23.1,45.34,58.0,74.5,83.91,VOA CTSOP 2023 (LAD),0,0,0,0,0
Honiton and Sidmouth,England,Richard Foord,Liberal Democrat,richard.foord.mp@parliament.uk,East Devon,17362.0,5.0,,16.9,70913.0,53194,395,22.8,19.82,31.09,53.68,72.71,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hornchurch and Upminster,England,Julia Lopez,Conservative,julia.lopez.mp@parliament.uk,Havering,28026.0,7,16.79794711572913,7.8,109822.0,44059,550,19.6,1.66,40.87,76.49,85.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hornsey and Friern Barnet,England,Catherine West,Labour,catherine.west.mp@parliament.uk,Haringey,22533.0,5.0,,14.0,113713.0,44310,501,22.2,33.33,64.56,76.87,85.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Horsham,England,John Milne,Liberal Democrat,john.milne.mp@parliament.uk,Horsham,25938.0,10,9.439649197507798,12.3,65797.0,47964,470,18.1,10.34,20.83,45.76,68.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Houghton and Sunderland South,England,Bridget Phillipson,Labour,bridget.phillipson.mp@parliament.uk,Sunderland,23692.0,3,30.226530649536368,12.5,126606.0,47938,556,23.5,14.43,32.47,67.91,84.31,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hove and Portslade,England,Peter Kyle,Labour,peter.kyle.mp@parliament.uk,Brighton and Hove,20717.0,5.0,,23.0,128334.0,44500,494,23.8,33.24,56.76,80.16,87.93,VOA CTSOP 2023 (LAD),0,0,0,0,0
Huddersfield,England,Harpreet Uppal,Labour,harpreet.uppal.mp@parliament.uk,Kirklees,30007.0,3,30.17399131283366,19.2,184772.0,45970,744,24.8,22.76,41.82,67.94,79.46,VOA CTSOP 2023 (LAD),0,0,0,0,0
Huntingdon,England,Ben Obese-Jecty,Conservative,ben.obesejecty.mp@parliament.uk,Huntingdonshire,25746.0,9,12.613059860323148,10.2,79903.0,53393,477,18.5,8.55,13.91,40.85,70.12,VOA CTSOP 2023 (LAD),0,0,0,0,0
Hyndburn,England,Sarah Smith,Labour,sarah.smith.mp@parliament.uk,Hyndburn,24587.0,2,33.55412111831286,21.9,35865.0,47722,643,26.2,38.61,54.83,72.91,86.04,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ilford North,England,Wes Streeting,Labour,wes.streeting.mp@parliament.uk,Redbridge,32570.0,7,16.35815553336392,10.9,112626.0,39145,657,20.2,8.45,61.72,77.82,85.13,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ilford South,England,Jas Athwal,Labour,jas.athwal.mp@parliament.uk,Redbridge,40906.0,6,20.342244579950425,10.9,112626.0,42454,856,20.9,7.65,61.02,77.4,84.43,VOA CTSOP 2023 (LAD),0,0,0,0,0
Ipswich,England,Jack Abbott,Labour (Co-op),jack.abbott.mp@parliament.uk,Ipswich,29234.0,4,26.45675610531896,12.6,61849.0,50424,665,22.7,15.02,42.17,68.95,80.2,VOA CTSOP 2023 (LAD),0,0,0,0,0
Isle of Wight East,England,Joe Robertson,Conservative,joe.robertson.mp@parliament.uk,Isle of Wight,11975.0,5.0,,21.7,68293.0,37128,283,23.6,28.04,40.17,61.53,80.01,VOA CTSOP 2023 (LAD),0,0,0,0,0
Isle of Wight West,England,Mr Richard Quigley,Labour,richard.quigley.mp@parliament.uk,Isle of Wight,13945.0,5.0,,21.7,68293.0,35272,329,23.6,28.04,40.17,61.53,80.01,VOA CTSOP 2023 (LAD),0,0,0,0,0
Islington North,England,Jeremy Corbyn,Independent,jeremy.corbyn.mp@parliament.uk,Islington,20971.0,3,28.335079633396067,11.3,104538.0,52447,488,23.3,36.12,47.44,64.36,76.16,VOA CTSOP 2023 (LAD),0,0,0,0,0
Islington South and Finsbury,England,Emily Thornberry,Labour,thornberrye@parliament.uk,Islington,20378.0,3,26.60132237404617,11.3,104538.0,64696,474,23.3,35.48,47.0,64.38,75.84,VOA CTSOP 2023 (LAD),0,0,0,0,0
Jarrow and Gateshead East,England,Kate Osborne,Labour,kate.osborne.mp@parliament.uk,South Tyneside,22233.0,5.0,,12.7,70787.0,45582,489,22.0,11.57,36.73,73.26,86.77,VOA CTSOP 2023 (LAD),0,0,0,0,0
Keighley and Ilkley,England,Robbie Moore,Conservative,robbie.moore.mp@parliament.uk,Bradford,24422.0,5.0,,20.9,217823.0,42908,573,23.5,23.66,46.45,68.66,79.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kenilworth and Southam,England,Sir Jeremy Wright,Conservative,Jeremy.wright.mp@parliament.uk,Stratford-on-Avon,22083.0,10,9.811884713561396,16.9,60315.0,43480,415,18.8,14.82,24.17,51.49,67.63,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kensington and Bayswater,England,Joe Powell,Labour,joe.powell.mp@parliament.uk,Kensington and Chelsea,22536.0,5.0,,17.8,73749.0,84383,517,22.9,60.67,71.85,81.63,89.31,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kettering,England,Rosie Wrighting,Labour,rosie.wrighting.mp@parliament.uk,North Northamptonshire,28537.0,6,19.181936664832573,14.6,156363.0,48932,615,21.6,12.56,25.13,51.99,69.02,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kingston and Surbiton,England,Ed Davey,Liberal Democrat,edward.davey.mp@parliament.uk,Kingston upon Thames,27663.0,9,12.68927855948353,9.3,71273.0,42225,509,18.4,13.98,55.67,75.0,84.33,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kingston upon Hull East,England,Karl Turner,Labour,karl.turner.mp@parliament.uk,"Kingston upon Hull, City of",27413.0,1,38.17242526407663,15.4,119917.0,47326,702,25.6,13.05,43.05,65.56,82.34,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kingston upon Hull North and Cottingham,England,Dame Diana Johnson,Labour,johnsond@parliament.uk,"Kingston upon Hull, City of",29121.0,5.0,,15.4,119917.0,59386,655,22.5,13.32,40.38,63.43,80.74,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kingston upon Hull West and Haltemprice,England,Emma Hardy,Labour,emma.hardy.mp@parliament.uk,"Kingston upon Hull, City of",24951.0,5.0,,15.4,119917.0,47670,561,22.5,13.57,38.04,61.57,79.34,VOA CTSOP 2023 (LAD),0,0,0,0,0
Kingswinford and South Staffordshire,England,Mike Wood,Conservative,mike.wood.mp@parliament.uk,South Staffordshire,17935.0,5.0,,13.0,46805.0,40689,395,22.0,6.41,19.38,58.62,81.94,VOA CTSOP 2023 (LAD),0,0,0,0,0
Knowsley,England,Anneliese Midgley,Labour,anneliese.midgley.mp@parliament.uk,Knowsley,24676.0,1,46.522150796836925,10.7,68066.0,39724,608,24.6,2.52,22.76,62.06,73.52,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lancaster and Wyre,England,Cat Smith,Labour,cat.smith.mp@parliament.uk,Lancaster,19270.0,5.0,,22.3,61896.0,44347,457,23.7,16.42,38.64,66.95,80.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds Central and Headingley,England,Alex Sobel,Labour (Co-op),alex.sobel.mp@parliament.uk,Leeds,14989.0,5.0,,16.8,354607.0,43486,341,22.8,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds East,England,Richard Burgon,Labour,richard@richardburgon.com,Leeds,32111.0,1,42.80784091808078,16.8,354607.0,54357,832,25.9,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds North East,England,Fabian Hamilton,Labour,fabian.hamilton.mp@parliament.uk,Leeds,24312.0,5,21.175840529143567,16.8,354607.0,43486,553,22.7,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds North West,England,Katie White,Labour,katie.white.mp@parliament.uk,Leeds,21764.0,8,15.62984559391835,16.8,354607.0,43486,443,20.4,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds South,England,Hilary Benn,Labour,bennh@parliament.uk,Leeds,36387.0,5.0,,16.8,354607.0,54357,827,22.7,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds South West and Morley,England,Mark Sewards,Labour,mark.sewards.mp@parliament.uk,Leeds,22751.0,5.0,,16.8,354607.0,43486,517,22.7,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leeds West and Pudsey,England,Rachel Reeves,Labour,public.enquiries@hmtreasury.gov.uk,Leeds,25160.0,5.0,,16.8,354607.0,43486,572,22.7,12.53,36.58,65.56,77.7,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leicester East,England,Shivani Raja,Conservative,shivani.raja.mp@parliament.uk,Leicester,33807.0,3,27.580471963178596,19.7,134234.0,45716,841,24.9,20.41,46.68,67.76,80.18,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leicester South,England,Shockat Adam,Independent,shockat.adam.mp@parliament.uk,Leicester,29841.0,3,28.98179050131926,19.7,134234.0,52247,743,24.9,20.41,46.68,67.76,80.18,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leicester West,England,Liz Kendall,Labour,liz.kendall.mp@parliament.uk,Leicester,37098.0,1,36.55895827747682,19.7,134234.0,45716,983,26.5,20.41,46.68,67.76,80.18,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leigh and Atherton,England,Jo Platt,Labour (Co-op),jo.platt.mp@parliament.uk,Wigan,27269.0,5.0,,13.6,147357.0,45864,604,22.1,14.18,34.73,65.17,79.14,VOA CTSOP 2023 (LAD),1,0,0,0,1
Lewes,England,James MacCleary,Liberal Democrat,james.maccleary.mp@parliament.uk,Lewes,23777.0,8,14.996791010781529,14.9,46134.0,45319,477,20.1,13.77,27.97,59.97,80.23,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lewisham East,England,Janet Daby,Labour,janet.daby.mp@parliament.uk,Lewisham,29219.0,3,26.58476618309065,11.6,132713.0,48285,681,23.3,28.16,53.15,69.27,78.66,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lewisham North,England,Vicky Foxcroft,Labour,vicky.foxcroft.mp@parliament.uk,Lewisham,23700.0,5.0,,11.6,132713.0,55183,517,21.8,28.16,53.15,69.27,78.66,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lewisham West and East Dulwich,England,Ellie Reeves,Labour,ellie.reeves.mp@parliament.uk,Lewisham,23522.0,5.0,,11.6,132713.0,46797,513,21.8,25.8,44.22,62.36,73.25,VOA CTSOP 2023 (LAD),0,0,0,0,0
Leyton and Wanstead,England,Mr Calvin Bailey,Labour,calvin.bailey.mp@parliament.uk,Waltham Forest,28252.0,5,22.33791107418912,12.5,111422.0,43102,620,21.9,19.58,63.72,76.65,83.62,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lichfield,England,Dave Robertson,Labour,dave.robertson.mp@parliament.uk,Lichfield,21504.0,9,12.070601932735842,12.3,46298.0,44837,406,18.9,8.72,18.81,54.92,71.81,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lincoln,England,Mr Hamish Falconer,Labour,hamish.falconer.mp@parliament.uk,Lincoln,24195.0,4,24.373907737068773,17.2,44674.0,53404,571,23.6,14.92,31.12,54.52,73.31,VOA CTSOP 2023 (LAD),0,0,0,0,0
Liverpool Garston,England,Maria Eagle,Labour,maria.eagle.mp@parliament.uk,Liverpool,22280.0,5.0,,19.0,213927.0,43061,515,23.1,26.17,52.69,65.01,76.04,VOA CTSOP 2023 (LAD),0,0,0,0,0
Liverpool Riverside,England,Kim Johnson,Labour,kim.johnson.mp@parliament.uk,Liverpool,22536.0,5.0,,19.0,213927.0,60285,521,23.1,26.17,52.69,65.01,76.04,VOA CTSOP 2023 (LAD),0,0,0,0,0
Liverpool Walton,England,Dan Carden,Labour,dan.carden.mp@parliament.uk,Liverpool,25530.0,5.0,,19.0,213927.0,42977,591,23.1,25.85,52.37,65.8,76.93,VOA CTSOP 2023 (LAD),0,0,0,0,0
Liverpool Wavertree,England,Paula Barker,Labour,paula.barker.mp@parliament.uk,Liverpool,21329.0,5.0,,19.0,213927.0,57414,493,23.1,26.17,52.69,65.01,76.04,VOA CTSOP 2023 (LAD),0,0,0,0,0
Liverpool West Derby,England,Ian Byrne,Labour,ian.byrne.mp@parliament.uk,Liverpool,24030.0,5.0,,19.0,213927.0,49018,556,23.1,23.21,48.95,64.65,75.72,VOA CTSOP 2023 (LAD),0,0,0,0,0
Loughborough,England,Dr Jeevun Sandher,Labour,jeevun.sandher.mp@parliament.uk,Charnwood,20300.0,8,14.584903335730983,14.3,77638.0,42118,405,20.0,9.59,25.66,54.17,72.4,VOA CTSOP 2023 (LAD),0,0,0,0,0
Louth and Horncastle,England,Victoria Atkins,Conservative,Victoria@victoriaatkins.org.uk,East Lindsey,17782.0,4,26.31214794678202,25.4,68150.0,50089,447,25.1,18.43,30.93,51.99,73.08,VOA CTSOP 2023 (LAD),0,0,0,0,0
Lowestoft,England,Jess Asato,Labour,jess.asato.mp@parliament.uk,East Suffolk,19735.0,5.0,,16.3,115269.0,37524,447,22.7,18.87,31.73,55.26,77.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
Luton North,England,Sarah Owen,Labour,sarah.owen.mp@parliament.uk,Luton,34965.0,5,23.482268744372185,13.6,82175.0,37299,775,22.2,5.31,32.94,64.94,84.78,VOA CTSOP 2023 (LAD),0,0,0,0,0
Luton South and South Bedfordshire,England,Rachel Hopkins,Labour,rachel.hopkins.mp@parliament.uk,Luton,37137.0,5.0,,13.6,82175.0,55642,823,22.2,5.76,31.06,62.56,82.48,VOA CTSOP 2023 (LAD),0,0,0,0,0
Macclesfield,England,Tim Roca,Labour,tim.roca.mp@parliament.uk,Cheshire East,20462.0,9,13.195317570313335,14.4,180017.0,50335,393,19.2,15.92,29.61,57.23,73.64,VOA CTSOP 2023 (LAD),0,0,0,0,0
Maidenhead,England,Mr Joshua Reynolds,Liberal Democrat,joshua.reynolds.mp@parliament.uk,Windsor and Maidenhead,27067.0,10,7.655966007041399,10.4,64283.0,52489,482,17.8,10.16,20.12,53.33,77.09,VOA CTSOP 2023 (LAD),0,0,0,0,0
Maidstone and Malling,England,Helen Grant,Conservative,helen.grant.mp@parliament.uk,Maidstone,28677.0,5.0,,13.2,75085.0,41365,633,22.1,14.45,26.85,54.82,71.83,VOA CTSOP 2023 (LAD),0,0,0,0,0
Makerfield,England,Josh Simons,Labour,josh.simons.mp@parliament.uk,Wigan,23518.0,5,22.19680448377695,13.6,147357.0,50450,521,22.2,14.18,34.73,65.17,79.14,VOA CTSOP 2023 (LAD),0,0,0,0,0
Maldon,England,Sir John Whittingdale,Conservative,john.whittingdale.mp@parliament.uk,Maldon,21564.0,9,13.417626808142051,13.5,28978.0,46148,411,19.1,9.86,21.59,49.89,72.61,VOA CTSOP 2023 (LAD),0,0,0,0,0
Manchester Central,England,Lucy Powell,Labour (Co-op),contact@lucypowell.org.uk,Manchester,28201.0,1,40.96990580652183,17.9,221040.0,54067,737,26.1,16.19,43.37,61.4,73.42,VOA CTSOP 2023 (LAD),0,0,0,0,0
Manchester Rusholme,England,Afzal Khan,Labour,afzal.khan.mp@parliament.uk,Manchester,26044.0,5.0,,17.9,221040.0,46200,597,22.9,15.02,44.02,58.37,69.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
Manchester Withington,England,Jeff Smith,Labour,jeff.smith.mp@parliament.uk,Manchester,17883.0,5.0,,17.9,221040.0,46200,410,22.9,15.02,44.02,58.37,69.35,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mansfield,England,Steve Yemm,Labour,steve.yemm.mp@parliament.uk,Mansfield,24794.0,3,28.508844565605187,14.5,50496.0,44798,592,23.9,6.29,33.01,61.21,78.13,VOA CTSOP 2023 (LAD),0,0,0,0,0
Melksham and Devizes,England,Brian Mathew,Liberal Democrat,brian.mathew.mp@parliament.uk,Wiltshire,19977.0,5.0,,13.5,229103.0,44590,442,22.1,16.77,26.38,52.43,70.4,VOA CTSOP 2023 (LAD),0,0,0,0,0
Melton and Syston,England,Edward Argar,Conservative,edward.argar.mp@parliament.uk,Melton,21456.0,5.0,,19.7,23734.0,39312,499,23.3,15.81,26.77,54.43,74.47,VOA CTSOP 2023 (LAD),0,0,0,0,0
Meriden and Solihull East,England,Saqib Bhatti,Conservative,saqib.bhatti@parliament.uk,Solihull,25024.0,5.0,,10.4,90783.0,44781,540,21.6,1.68,19.37,64.5,80.07,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Bedfordshire,England,Blake Stephenson,Conservative,blake.stephenson.mp@parliament.uk,Central Bedfordshire,26919.0,10,9.27616880903098,8.9,125410.0,41585,474,17.6,9.78,19.61,47.26,66.83,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Buckinghamshire,England,Greg Smith,Conservative,greg.smith.mp@parliament.uk,Buckinghamshire,25494.0,5.0,,11.0,232712.0,40607,553,21.7,8.89,22.93,55.2,74.53,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Cheshire,England,Andrew Cooper,Labour,andrew.cooper.mp@parliament.uk,Cheshire West and Chester,22798.0,5.0,,14.1,159832.0,43804,507,22.2,13.09,27.83,60.91,76.03,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Derbyshire,England,Jonathan Davies,Labour,jonathan.davies.mp@parliament.uk,Amber Valley,18394.0,10,10.39576235050022,18.1,59064.0,42163,349,19.0,17.23,38.99,63.35,80.84,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Dorset and North Poole,England,Vikki Slade,Liberal Democrat,vikki.slade.mp@parliament.uk,Dorset,20675.0,10,10.622909046102063,15.6,180159.0,41486,385,18.6,15.85,30.25,54.75,76.97,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Leicestershire,England,Mr Peter Bedford,Conservative,peter.bedford.mp@parliament.uk,Blaby,24079.0,5.0,,12.6,44738.0,47969,529,22.0,7.47,23.1,54.84,73.09,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Norfolk,England,George Freeman,Conservative,george.freeman.mp@parliament.uk,Breckland,20211.0,7,16.854427944207714,15.8,62705.0,43107,424,21.0,13.36,18.26,44.03,67.6,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mid Sussex,England,Alison Bennett,Liberal Democrat,alison.bennett.mp@parliament.uk,Mid Sussex,25644.0,10,7.662923267175306,11.1,66782.0,42573,460,17.9,10.21,22.1,51.84,71.47,VOA CTSOP 2023 (LAD),0,0,0,0,0
Middlesbrough and Thornaby East,England,Andy McDonald,Labour,andy.mcdonald.2nd@parliament.uk,Middlesbrough,31739.0,5.0,,12.7,62381.0,47593,698,22.0,8.85,30.03,62.66,79.66,VOA CTSOP 2023 (LAD),0,0,0,0,0
Middlesbrough South and East Cleveland,England,Luke Myer,Labour,luke.myer.mp@parliament.uk,Middlesbrough,21518.0,3,27.031662751677857,12.7,62381.0,48306,506,23.5,10.54,29.37,65.98,82.51,VOA CTSOP 2023 (LAD),0,0,0,0,0
Milton Keynes Central,England,Emily Darlington,Labour,emily.darlington.mp@parliament.uk,Milton Keynes,37369.0,5.0,,8.3,119573.0,51301,792,21.2,4.89,8.22,20.27,59.2,VOA CTSOP 2023 (LAD),0,0,0,0,0
Milton Keynes North,England,Chris Curtis,Labour,chris.curtis.mp@parliament.uk,Milton Keynes,26983.0,8,15.881096522544969,8.3,119573.0,44888,512,19.0,4.89,8.22,20.27,59.2,VOA CTSOP 2023 (LAD),0,0,0,0,0
Mitcham and Morden,England,Dame Siobhain McDonagh,Labour,mcdonaghs@parliament.uk,Merton,30668.0,6,20.04905691445494,10.0,88985.0,48081,637,20.8,11.61,63.48,74.58,84.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
Morecambe and Lunesdale,England,Lizzi Collinge,Labour,lizzi.collinge.mp@parliament.uk,Lancaster,20806.0,3,28.26112225639204,22.3,61896.0,40296,528,25.4,21.77,45.08,68.42,80.96,VOA CTSOP 2023 (LAD),0,0,0,0,0
New Forest East,England,Sir Julian Lewis,Conservative,,New Forest,18648.0,9,13.697081327101209,13.0,81951.0,44655,354,19.0,8.14,22.38,54.07,83.01,VOA CTSOP 2023 (LAD),0,0,0,0,0
New Forest West,England,Sir Desmond Swayne,Conservative,swayned@parliament.uk,New Forest,14616.0,9,12.298796753803051,13.0,81951.0,38275,277,19.0,8.14,22.38,54.07,83.01,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newark,England,Robert Jenrick,Conservative,robert.jenrick.mp@parliament.uk,Newark and Sherwood,23496.0,7,16.10957648879899,17.5,56087.0,56343,500,21.3,10.82,27.07,55.87,71.49,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newbury,England,Mr Lee Dillon,Liberal Democrat,lee.dillon.mp@parliament.uk,West Berkshire,23783.0,10,10.627769949824115,12.0,70409.0,36936,430,18.1,11.52,19.92,47.64,74.95,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newcastle upon Tyne Central and West,England,Dame Chi Onwurah,Labour,chi.onwurah.mp@parliament.uk,Newcastle upon Tyne,32586.0,5.0,,15.5,127150.0,54588,733,22.5,12.19,42.38,66.86,80.79,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newcastle upon Tyne East and Wallsend,England,Mary Glindon,Labour,mary.glindon.mp@parliament.uk,Newcastle upon Tyne,24005.0,5.0,,15.5,127150.0,45969,540,22.5,10.94,40.06,66.19,80.61,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newcastle upon Tyne North,England,Catherine McKinnell,Labour,catherine.mckinnell.mp@parliament.uk,Newcastle upon Tyne,22596.0,4,24.634421344270162,15.5,127150.0,56808,526,23.3,11.41,40.93,66.44,80.68,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newcastle-under-Lyme,England,Adam Jogee,Labour,adam.jogee.mp@parliament.uk,Newcastle-under-Lyme,19862.0,6,19.59796715601946,15.0,54234.0,44130,430,21.6,13.38,36.43,69.65,83.32,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newton Abbot,England,Martin Wrigley,Liberal Democrat,martin.wrigley.mp@parliament.uk,Teignbridge,18228.0,7,16.87588539449068,17.3,63564.0,45787,387,21.2,21.69,32.64,55.54,75.62,VOA CTSOP 2023 (LAD),0,0,0,0,0
Newton Aycliffe and Spennymoor,England,Alan Strickland,Labour,alan.strickland.mp@parliament.uk,County Durham,21936.0,5.0,,14.7,242900.0,43464,490,22.3,13.72,35.98,64.71,78.73,VOA CTSOP 2023 (LAD),0,0,0,0,0
Normanton and Hemsworth,England,Jon Trickett,Labour,trickettj@parliament.uk,Wakefield,24906.0,5.0,,13.0,158839.0,46694,549,22.0,8.73,31.17,61.34,76.08,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Bedfordshire,England,Richard Fuller,Conservative,richard.fuller.mp@parliament.uk,Bedford,25953.0,5.0,,11.1,77918.0,56537,563,21.7,12.47,24.75,51.59,68.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Cornwall,England,Ben Maguire,Liberal Democrat,ben.maguire.mp@parliament.uk,Cornwall,20909.0,4,23.622368941171498,23.1,266162.0,46765,517,24.7,25.6,35.26,54.41,73.51,VOA CTSOP 2023 (LAD),2,0,0,2,2
North Cotswolds,England,Sir Geoffrey Clifton-Brown,Conservative,cliftonbrowng@parliament.uk,Cotswold,21439.0,5.0,,17.4,43283.0,42755,490,22.9,19.78,27.77,51.08,71.0,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Devon,England,Ian Roome,Liberal Democrat,ian.roome.mp@parliament.uk,North Devon,20841.0,6,20.403279736476403,21.9,45904.0,48340,476,22.8,26.27,35.21,55.38,74.37,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Dorset,England,Simon Hoare,Conservative,simon.hoare.mp@parliament.uk,Dorset,19638.0,8,13.902309202180025,15.6,180159.0,45127,396,20.2,18.0,27.71,52.4,75.54,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Durham,England,Luke Akehurst,Labour,luke.akehurst.mp@parliament.uk,County Durham,20473.0,4,26.3104582201702,14.7,242900.0,51366,474,23.2,13.72,35.98,64.71,78.73,VOA CTSOP 2023 (LAD),4,5,5,0,0
North East Cambridgeshire,England,Steve Barclay,Conservative,steve@stevebarclay.net,Fenland,22999.0,4,23.95452654948198,11.9,45651.0,47040,520,22.6,10.44,24.32,45.22,65.86,VOA CTSOP 2023 (LAD),0,0,0,0,0
North East Derbyshire,England,Louise Sandher-Jones,Labour,louise.sandherjones.mp@parliament.uk,North East Derbyshire,19822.0,7,17.80383053019034,15.3,48325.0,48475,414,20.9,11.77,24.56,61.32,79.55,VOA CTSOP 2023 (LAD),0,0,0,0,0
North East Hampshire,England,Alex Brewer,Liberal Democrat,alex.brewer.mp@parliament.uk,Hart,24600.0,10,6.2332401687450565,8.3,42223.0,43158,431,17.5,5.85,12.62,44.49,71.56,VOA CTSOP 2023 (LAD),0,0,0,0,0
North East Hertfordshire,England,Chris Hinchliff,Labour,chris.hinchliff.mp@parliament.uk,North Hertfordshire,24638.0,9,11.951842074689614,9.5,58986.0,49688,454,18.4,10.83,27.54,55.46,75.15,VOA CTSOP 2023 (LAD),0,0,0,0,0
North East Somerset and Hanham,England,Dan Norris,Independent,dan.norris.mp@parliament.uk,Bath and North East Somerset,21328.0,5.0,,14.9,84479.0,46576,478,22.4,20.56,33.21,61.64,76.83,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Herefordshire,England,Dr Ellie Chowns,Green Party,ellie.chowns.mp@parliament.uk,"Herefordshire, County of",17481.0,6,18.373856906307573,25.0,84052.0,43660,409,23.4,25.79,34.17,55.13,75.26,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Norfolk,England,Steff Aquarone,Liberal Democrat,steff.aquarone.mp@parliament.uk,North Norfolk,14135.0,5,20.86585227635965,22.0,50370.0,47098,335,23.7,20.67,32.55,54.53,75.71,VOA CTSOP 2023 (LAD),0,0,0,0,0
North Northumberland,England,David Smith,Labour,david.smith.mp@parliament.uk,Northumberland,16472.0,5.0,,17.5,152126.0,43470,377,22.9,15.38,33.94,61.16,79.1,VOA CTSOP 2023 (LAD),1,0,0,0,1
